part number,grade,maker_pn,spec
1201-005035,B,RTQ9128DH-QA,"Step-down converter, 4.5V to 18V, 3A, DFN3x3, 8p, -40C to 125C"
1203-003186,A,SY22121,"LED driver, 2.7V to 5.5V, SOT23, 6p, -40C to 85C"
1203-001120,E,JW5070,"LED driver, 2.8V to 5.5V, 80mA, SOT563, 6p, -40C to 85C"
1203-003901,E,JW5079A,"LED driver, 2.8V to 5.5V, 80mA, SOT563, 6p, -40C to 85C"
1203-009536,F,JW5126,"LED driver, 2.8V to 5.5V, 80mA, SOT563, 6p, -40C to 85C"
1203-001348,F,JW5143,"LED driver, 2.8V to 5.5V, 80mA, SOT563, 6p, -40C to 85C"
1203-009568,F,JW5188DH,"LED driver, 2.8V to 5.5V, 80mA, DFN6, 6p, -40C to 85C"
1203-009918,F,JW5262NF,"LED driver, 2.8V to 5.5V, 80mA, DFN6, 6p, -40C to 85C"
1203-001252,D,JW5701B,"LED driver, 2.8V to 5.5V, 80mA, SOT563, 6p, -40C to 85C"
1203-000362,D,JW5702,"LED driver, 2.8V to 5.5V, 80mA, SOT563, 6p, -40C to 85C"
1203-002717,B,JWH5123S,"Step-down converter, 4.5V to 65V, 3.5A, DFN4x4, 0C to 125C"
1203-002880,B,JWH5141,"Step-down converter, 4.5V to 65V, 3.5A, DFN4x4, 0C to 125C"
1203-009471,D,NEX30606,"Step-down converter, 2.7V to 5.5V, 600mA, SOT23, 6p, -40C to 85C"
1203-006931,B,NEX040400,"Step-down converter, 3V to 40V, 400mA, SOT23, 6p, -40C to 85C"
1203-008301,B,TPS5430,"Step-down converter, 5.5V to 36V, 3A, SO8, 8p, -40C to 125C"
1203-006618,A,TPS54331,"Step-down converter, 4.5V to 28V, 3A, HTSSOP20, 20p, -40C to 125C"
1203-009289,F,TPS62A03A,"Step-down converter, 2.3V to 6V, 3A, DFN2x2, 6p, -40C to 125C"
1203-001470,F,TPS92541-Q1,"LED driver, 4.5V to 65V, 1.5A, HTSSOP14, 14p, -40C to 125C "
